# ACTS Test Suite Generation: Tue May 17 13:07:36 CST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 7
# Maximum number of values per parameter: 11
# Number of configurations: 128
bookingType,date1,origin1,destination1,date2,origin2,destination2
multi_trip,1,Beijing,Nanjing,2,Nanjing,Tokyo
round_trip,1,Paris,Dalian,1,Dalian,Paris
multi_trip,1,Nanjing,Dalian,2,Dalian,Shanghai
multi_trip,3,Tokyo,Dalian,3,Dalian,Nanjing
multi_trip,3,Singapore,Dalian,4,Dalian,Beijing
multi_trip,1,Nanjing,Tokyo,1,Tokyo,Singapore
multi_trip,1,Dalian,Tokyo,2,Tokyo,London
multi_trip,1,Beijing,Tokyo,3,Tokyo,Paris
multi_trip,4,Shanghai,Tokyo,4,Tokyo,Nanjing
multi_trip,2,London,Singapore,2,Singapore,Nanjing
multi_trip,3,Shanghai,Singapore,3,Singapore,Tokyo
multi_trip,3,Dalian,Singapore,4,Singapore,London
multi_trip,1,Paris,London,5,London,Beijing
multi_trip,1,Tokyo,Paris,1,Paris,London
multi_trip,2,Nanjing,Paris,3,Paris,London
multi_trip,6,Tokyo,Shanghai,6,Shanghai,Beijing
round_trip,6,Shanghai,London,6,London,Shanghai
multi_trip,7,Singapore,London,8,London,Dalian
multi_trip,6,Paris,Tokyo,8,Tokyo,Singapore
round_trip,8,Paris,London,10,London,Paris
multi_trip,3,Beijing,Dalian,5,Dalian,Shanghai
multi_trip,1,Singapore,Beijing,1,Beijing,Nanjing
multi_trip,1,Tokyo,London,2,London,Singapore
round_trip,4,Nanjing,Beijing,7,Beijing,Nanjing
multi_trip,5,Tokyo,London,6,London,Dalian
round_trip,3,London,Nanjing,3,Nanjing,London
round_trip,7,Nanjing,London,8,London,Nanjing
